,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,stage_time,event_website
46,Character Mic: A Character Open Mic for Characters @ UCB Sunset Inner Sanctum,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-03-05,19,2020-03-05,20,False,Character Mic,$0,No min.,"Free mics
",True,True,4 min.,
47,Open Screen,Echo Park Film Center,Los Feliz/Silverlake/Echo Park,2020-03-05,20,2020-03-05,22,False,Open Screen,$5,,,True,True,10 min.,
48,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-05,21,2020-03-05,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/comedygrabbag
49,Set List @ Pack Theater,Pack Theater,Hollywood/East Hollywood,2020-03-05,22,2020-03-05,23,False,Improvised stand-up mic,$0,No min.,"Free mics
",True,True,,
50,Sabor y Cultura,Sabor y Cultura,Hollywood/East Hollywood,2020-03-06,19,2020-03-06,21,False,Open Mic,,1 drink min.,,True,True,4 min.,
51,Tao Comedy Studio,Tao Comedy Studio,Koreatown/Mid-City,2020-03-06,20,2020-03-06,22,False,Open Mic,$5,No min.,,True,True,5 min.,
52,Go Sketch Yourself @ Pack Theater,Pack Theater,Hollywood/East Hollywood,2020-03-06,23,2020-03-06,1,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
53,(3PM-4PM Hourly) 10 Mins. The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-07,15,2020-03-13,16,False,Open Mic,$0,No min.,"Free mics
",True,True,10 min.,https://slotted.co/m4l
54,(3PM-10PM Hourly) Bert's Back Room,Bert's Back Room,WeHo/Fairfax/Beverly Hills,2020-03-07,15,2020-03-13,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/bertsbackroom
55,(3PM-5PM Hourly) 10 Min Spots Bert's Back Room Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-07,15,2020-03-07,18,False,Open Mic,$8,No min.,,True,True,10 min.,https://slotted.co/bertsbackroom
56,(4PM-7PM Hourly) Bert's Back Room Laugh Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-07,16,2020-03-07,19,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/bertsbackroom
57,(4PM-7PM Hourly) The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-07,16,2020-03-13,20,False,Open Mic,$3,No min.,,True,True,5 min.,https://slotted.co/m4l
58,The Green Room,The Green Room,Orange County,2020-03-07,18,2020-03-09,22,False,Open Mic,$5 (includes drink),No min.,,True,True,5 min.,https://slotted.co/gr
59,The Ruby LA,The Ruby LA,DTLA,2020-03-07,18,2020-03-07,19,False,Open Mic,$0,No min.,Free mics,True,True,5 min.,https://therubyla.com/events/the-ruby-la-open-mic-2020-03-06/
